employee_email,date,message
rohan@company.com,2024-04-05,Need more clarity on project expectations.
aarti@company.com,2024-04-06,Loving the new team structure!
ravi@company.com,2024-04-07,Workload feels too heavy lately.
fatima@company.com,2024-04-08,"Team meeting went well, feeling motivated!"
john@company.com,2024-04-09,Deadlines are stressing me out.
megha@company.com,2024-04-10,Happy with the management and support.
rohan@company.com,2024-04-11,Need more clarity on project expectations.
aarti@company.com,2024-04-12,Loving the new team structure!
ravi@company.com,2024-04-13,Workload feels too heavy lately.
fatima@company.com,2024-04-14,"Team meeting went well, feeling motivated!"
john@company.com,2024-04-15,Deadlines are stressing me out.
megha@company.com,2024-04-16,Happy with the management and support.
rohan@company.com,2024-04-17,Need more clarity on project expectations.
aarti@company.com,2024-04-18,Loving the new team structure!
ravi@company.com,2024-04-19,Workload feels too heavy lately.
fatima@company.com,2024-04-20,"Team meeting went well, feeling motivated!"
john@company.com,2024-04-21,Deadlines are stressing me out.
megha@company.com,2024-04-22,Happy with the management and support.
rohan@company.com,2024-04-23,Need more clarity on project expectations.
aarti@company.com,2024-04-24,Loving the new team structure!
ravi@company.com,2024-04-25,Workload feels too heavy lately.
fatima@company.com,2024-04-26,"Team meeting went well, feeling motivated!"
john@company.com,2024-04-27,Deadlines are stressing me out.
megha@company.com,2024-04-28,Happy with the management and support.
rohan@company.com,2024-04-29,Need more clarity on project expectations.
